algo,users,traffic,weight_name,blocking_rate_mean,blocking_rate_std,spectral_efficiency_mean,spectral_efficiency_std,energy_efficiency_mean,energy_efficiency_std,total_power_mean,total_power_std,qos_violations_mean,qos_violations_std,episode_reward_mean,episode_reward_std,invalid_action_rate_mean,invalid_action_rate_std,selector_evaluated_actions_mean,selector_evaluated_actions_std
gnn_topk10_selector_sage_candidate,125,hotspot,equal,0.08879999999999999,0.01730664612222715,424.55735869542485,6.769079215380513,1.4896357704469134,0.47227678286861763,329.0291367577024,142.26608213472502,0.0,0.0,106.0,3.704051835490427,0.298880658436214,0.01184756438224302,17.307466666666667,0.24472983743984458
gnn_topk10_selector_sage_candidate,125,uniform,equal,0.0,0.0,552.9299615617587,9.781854740114435,1.7320102520218714,0.7010647478013139,379.24548385520666,116.38744840468574,0.0,0.0,106.2,6.6302337817003085,0.10475720164609054,0.0015351062955765156,19.753333333333334,0.27012332985755527
gnn_topk10_selector_sage_candidate,150,hotspot,equal,0.1442222222222222,0.010590002273283402,460.4272291831717,6.335552931593814,1.678716361897761,0.13557597269983837,283.33805721824,20.278052249412895,0.0,0.0,121.46666666666665,1.8502252115170543,0.3434430727023319,0.004952881907883338,16.372444444444444,0.40421244872431034
gnn_topk10_selector_sage_candidate,150,uniform,equal,0.00022222222222219998,0.000384900179459712,597.9489418319514,10.104059765584669,2.142042823634523,0.8044730328798202,331.46640863885744,144.907728018897,0.0,0.0,109.8,8.717797887081348,0.125679012345679,0.0014786209237219409,19.397333333333332,0.7322904706012049
gnn_topk10_selector_sage_candidate,200,hotspot,equal,0.24366666666666661,0.010299676370320306,521.2871062280499,1.8719192653517904,1.9004847137505323,0.3246289546631493,294.08282508452254,58.083216281170735,0.0,0.0,143.63333333333333,0.9073771725877636,0.40805555555555556,0.0037978015684792866,14.472666666666667,0.5515347526070625
gnn_topk10_selector_sage_candidate,200,uniform,equal,0.0003333333333333333,0.0002886751345948129,668.996159864832,14.073944265354427,2.0799997701974644,0.6691473658372495,380.6089473278103,163.22222045022158,0.0,0.0,120.06666666666668,18.28779192065935,0.1670164609053498,0.0016931293479152695,19.357499999999998,0.3451858195233388
greedy_z,25,hotspot,equal,0.0,0.0,147.89732901376632,2.7774256753278608,5.761807313054942,0.36604306968778855,25.720759220056124,1.2483915891609232,0.0,0.0,,,,,,
greedy_z,25,uniform,equal,0.0,0.0,160.985842655979,1.72514128571477,5.506944832097716,0.34962574968561294,29.324555320336756,2.162277660168385,0.0,0.0,,,,,,
greedy_z,50,hotspot,equal,0.0,0.0,231.65626381829904,13.740285932853253,3.4763469781006946,0.35654466192540807,67.41518440112253,11.438110368511278,0.0,0.0,,,,,,
greedy_z,50,uniform,equal,0.0,0.0,328.8647988655548,6.573811265217499,2.2617235245803524,0.24042803420457914,146.64175710308697,17.5257139853517,0.0,0.0,,,,,,
